=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|
  A13|   -1|   -3|   -3|    3|    3|    3|    3|   -1|   -3|   -3|   -1|   -3|    1|    0|    3|    3|    3|    3|   -3|   -3|   -1|    1|    1|   -1|   -1|   -1|    1|    1|   -1|   -1|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    1|    1|    3|    1|   -3|   -1|   -1|   -3|   -3|   -1|    1|    1|    3|    1|   -3|   -1|   -3|   -3|   -1|   -1|    1|    1|    3|    1|   -3|   -3|   -3|   -1|   -1|   -1|    1|    1|    3|    1|   -1|   -1|   -1|    1|    1|    1|    1|    1|    3|    1|   -1|    1|   -1|   -1|    1|    1|    1|    1|    3|    1|   -3|   -1|   -1|   -3|   -3|   -1|    1|    1|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    1|    1|    1|    1|   -1|   -1|   -1|   -1|    1|   -1|   -1|    1|    1|   -1|   -1|    1|    1|    1|    1|    1|   -1|   -1|    1|   -1|   -3|    1|    1|    1|    1|   -1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A14|   -1|   -3|   -3|    3|    3|    3|    3|   -1|   -3|   -3|   -1|   -3|    1|    3|    0|    3|    3|    3|   -3|   -3|   -1|    1|    1|   -1|   -1|   -1|    1|    1|   -1|   -1|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    1|    1|    3|    1|   -3|   -1|   -1|   -3|   -3|   -1|    1|    1|    3|    1|   -3|   -1|   -3|   -3|   -1|   -1|    1|    1|    3|    1|   -3|   -3|   -3|   -1|   -1|   -1|    1|    1|    3|    1|   -1|   -1|   -1|    1|    1|    1|    1|    1|    3|    1|   -1|    1|   -1|   -1|    1|    1|    1|    1|    3|    1|   -3|   -1|   -1|   -3|   -3|   -1|    1|    1|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    1|    1|    1|    1|   -1|   -1|   -1|   -1|    1|   -1|   -1|    1|    1|   -1|   -1|    1|    1|    1|    1|    1|   -1|   -1|    1|   -1|   -3|    1|    1|    1|    1|   -1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A15|   -1|   -3|   -3|    3|    3|    3|    3|   -1|   -3|   -3|   -1|   -3|    1|    3|    3|    0|    3|    3|   -3|   -3|   -1|    1|    1|   -1|   -1|   -1|    1|    1|   -1|   -1|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    1|    1|    3|    1|   -3|   -1|   -1|   -3|   -3|   -1|    1|    1|    3|    1|   -3|   -1|   -3|   -3|   -1|   -1|    1|    1|    3|    1|   -3|   -3|   -3|   -1|   -1|   -1|    1|    1|    3|    1|   -1|   -1|   -1|    1|    1|    1|    1|    1|    3|    1|   -1|    1|   -1|   -1|    1|    1|    1|    1|    3|    1|   -3|   -1|   -1|   -3|   -3|   -1|    1|    1|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    1|    1|    1|    1|   -1|   -1|   -1|   -1|    1|   -1|   -1|    1|    1|   -1|   -1|    1|    1|    1|    1|    1|   -1|   -1|    1|   -1|   -3|    1|    1|    1|    1|   -1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A16|   -1|   -3|   -3|    3|    3|    3|    3|   -1|   -3|   -3|   -1|   -3|    1|    3|    3|    3|    0|    3|   -3|   -3|   -1|    1|    1|   -1|   -1|   -1|    1|    1|   -1|   -1|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    1|    1|    3|    1|   -3|   -1|   -1|   -3|   -3|   -1|    1|    1|    3|    1|   -3|   -1|   -3|   -3|   -1|   -1|    1|    1|    3|    1|   -3|   -3|   -3|   -1|   -1|   -1|    1|    1|    3|    1|   -1|   -1|   -1|    1|    1|    1|    1|    1|    3|    1|   -1|    1|   -1|   -1|    1|    1|    1|    1|    3|    1|   -3|   -1|   -1|   -3|   -3|   -1|    1|    1|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    1|    1|    1|    1|   -1|   -1|   -1|   -1|    1|   -1|   -1|    1|    1|   -1|   -1|    1|    1|    1|    1|    1|   -1|   -1|    1|   -1|   -3|    1|    1|    1|    1|   -1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A17|   -1|   -3|   -3|    3|    3|    3|    3|   -1|   -3|   -3|   -1|   -3|    1|    3|    3|    3|    3|    0|   -3|   -3|   -1|    1|    1|   -1|   -1|   -1|    1|    1|   -1|   -1|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    1|    1|    3|    1|   -3|   -1|   -1|   -3|   -3|   -1|    1|    1|    3|    1|   -3|   -1|   -3|   -3|   -1|   -1|    1|    1|    3|    1|   -3|   -3|   -3|   -1|   -1|   -1|    1|    1|    3|    1|   -1|   -1|   -1|    1|    1|    1|    1|    1|    3|    1|   -1|    1|   -1|   -1|    1|    1|    1|    1|    3|    1|   -3|   -1|   -1|   -3|   -3|   -1|    1|    1|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    1|    1|    1|    1|   -1|   -1|   -1|   -1|    1|   -1|   -1|    1|    1|   -1|   -1|    1|    1|    1|    1|    1|   -1|   -1|    1|   -1|   -3|    1|    1|    1|    1|   -1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A18|    1|    3|    3|   -3|   -3|   -3|   -3|    1|    3|    3|    1|    3|   -1|   -3|   -3|   -3|   -3|   -3|    0|    3|    1|   -1|   -1|    1|    1|    1|   -1|   -1|    1|    1|   -3|   -1|    3|    1|    1|    1|    3|    3|   -1|   -1|   -3|   -1|    3|    1|    1|    3|    3|    1|   -1|   -1|   -3|   -1|    3|    1|    3|    3|    1|    1|   -1|   -1|   -3|   -1|    3|    3|    3|    1|    1|    1|   -1|   -1|   -3|   -1|    1|    1|    1|   -1|   -1|   -1|   -1|   -1|   -3|   -1|    1|   -1|    1|    1|   -1|   -1|   -1|   -1|   -3|   -1|    3|    1|    1|    3|    3|    1|   -1|   -1|   -3|   -1|    3|    1|    1|    1|    3|    3|   -1|   -1|   -1|   -1|    1|    1|    1|    1|   -1|    1|    1|   -1|   -1|    1|    1|   -1|   -1|   -1|   -1|   -1|    1|    1|   -1|    1|    3|   -1|   -1|   -1|   -1|    1|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A19|    1|    3|    3|   -3|   -3|   -3|   -3|    1|    3|    3|    1|    3|   -1|   -3|   -3|   -3|   -3|   -3|    3|    0|    1|   -1|   -1|    1|    1|    1|   -1|   -1|    1|    1|   -3|   -1|    3|    1|    1|    1|    3|    3|   -1|   -1|   -3|   -1|    3|    1|    1|    3|    3|    1|   -1|   -1|   -3|   -1|    3|    1|    3|    3|    1|    1|   -1|   -1|   -3|   -1|    3|    3|    3|    1|    1|    1|   -1|   -1|   -3|   -1|    1|    1|    1|   -1|   -1|   -1|   -1|   -1|   -3|   -1|    1|   -1|    1|    1|   -1|   -1|   -1|   -1|   -3|   -1|    3|    1|    1|    3|    3|    1|   -1|   -1|   -3|   -1|    3|    1|    1|    1|    3|    3|   -1|   -1|   -1|   -1|    1|    1|    1|    1|   -1|    1|    1|   -1|   -1|    1|    1|   -1|   -1|   -1|   -1|   -1|    1|    1|   -1|    1|    3|   -1|   -1|   -1|   -1|    1|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A20|    3|    1|    1|   -1|   -1|   -1|   -1|    3|    1|    1|    3|    1|   -3|   -1|   -1|   -1|   -1|   -1|    1|    1|    0|   -3|   -3|    3|    3|    3|    1|   -3|   -1|    3|   -1|   -3|    1|    3|    3|    3|    1|    1|    1|    1|   -1|   -3|    1|    3|    3|    1|    1|    3|    1|    1|   -1|   -3|    1|    3|    1|    1|    3|    3|    1|    1|   -1|   -3|    1|    1|    1|    3|    3|    3|    1|    1|   -1|   -3|   -1|   -1|   -1|    1|    1|    1|    1|    1|   -1|   -3|   -1|    1|   -1|   -1|    1|    1|    1|    1|   -1|   -3|    1|    3|    3|    1|    1|    3|    1|    1|   -1|   -3|    1|    3|    3|    3|    1|    1|    1|    1|    1|   -3|   -1|    3|    3|    3|    1|   -1|   -1|    1|    1|   -1|   -1|    1|    1|    1|    1|    1|   -1|   -1|    1|   -1|    1|    1|    1|    1|    1|    3|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A21|   -3|   -1|   -1|    1|    1|    1|    1|   -3|   -1|   -1|   -3|   -1|    3|    1|    1|    1|    1|    1|   -1|   -1|   -3|    0|    3|   -3|   -3|   -3|   -1|    3|    1|   -3|    1|    3|   -1|   -3|   -3|   -3|   -1|   -1|   -1|   -1|    1|    3|   -1|   -3|   -3|   -1|   -1|   -3|   -1|   -1|    1|    3|   -1|   -3|   -1|   -1|   -3|   -3|   -1|   -1|    1|    3|   -1|   -1|   -1|   -3|   -3|   -3|   -1|   -1|    1|    3|    1|    1|    1|   -1|   -1|   -1|   -1|   -1|    1|    3|    1|   -1|    1|    1|   -1|   -1|   -1|   -1|    1|    3|   -1|   -3|   -3|   -1|   -1|   -3|   -1|   -1|    1|    3|   -1|   -3|   -3|   -3|   -1|   -1|   -1|   -1|   -1|    3|    1|   -3|   -3|   -3|   -1|    1|    1|   -1|   -1|    1|    1|   -1|   -1|   -1|   -1|   -1|    1|    1|   -1|    1|   -1|   -1|   -1|   -1|   -1|   -3|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A22|   -3|   -1|   -1|    1|    1|    1|    1|   -3|   -1|   -1|   -3|   -1|    3|    1|    1|    1|    1|    1|   -1|   -1|   -3|    3|    0|   -3|   -3|   -3|   -1|    3|    1|   -3|    1|    3|   -1|   -3|   -3|   -3|   -1|   -1|   -1|   -1|    1|    3|   -1|   -3|   -3|   -1|   -1|   -3|   -1|   -1|    1|    3|   -1|   -3|   -1|   -1|   -3|   -3|   -1|   -1|    1|    3|   -1|   -1|   -1|   -3|   -3|   -3|   -1|   -1|    1|    3|    1|    1|    1|   -1|   -1|   -1|   -1|   -1|    1|    3|    1|   -1|    1|    1|   -1|   -1|   -1|   -1|    1|    3|   -1|   -3|   -3|   -1|   -1|   -3|   -1|   -1|    1|    3|   -1|   -3|   -3|   -3|   -1|   -1|   -1|   -1|   -1|    3|    1|   -3|   -3|   -3|   -1|    1|    1|   -1|   -1|    1|    1|   -1|   -1|   -1|   -1|   -1|    1|    1|   -1|    1|   -1|   -1|   -1|   -1|   -1|   -3|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A23|    3|    1|    1|   -1|   -1|   -1|   -1|    3|    1|    1|    3|    1|   -3|   -1|   -1|   -1|   -1|   -1|    1|    1|    3|   -3|   -3|    0|    3|    3|    1|   -3|   -1|    3|   -1|   -3|    1|    3|    3|    3|    1|    1|    1|    1|   -1|   -3|    1|    3|    3|    1|    1|    3|    1|    1|   -1|   -3|    1|    3|    1|    1|    3|    3|    1|    1|   -1|   -3|    1|    1|    1|    3|    3|    3|    1|    1|   -1|   -3|   -1|   -1|   -1|    1|    1|    1|    1|    1|   -1|   -3|   -1|    1|   -1|   -1|    1|    1|    1|    1|   -1|   -3|    1|    3|    3|    1|    1|    3|    1|    1|   -1|   -3|    1|    3|    3|    3|    1|    1|    1|    1|    1|   -3|   -1|    3|    3|    3|    1|   -1|   -1|    1|    1|   -1|   -1|    1|    1|    1|    1|    1|   -1|   -1|    1|   -1|    1|    1|    1|    1|    1|    3|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A24|    3|    1|    1|   -1|   -1|   -1|   -1|    3|    1|    1|    3|    1|   -3|   -1|   -1|   -1|   -1|   -1|    1|    1|    3|   -3|   -3|    3|    0|    3|    1|   -3|   -1|    3|   -1|   -3|    1|    3|    3|    3|    1|    1|    1|    1|   -1|   -3|    1|    3|    3|    1|    1|    3|    1|    1|   -1|   -3|    1|    3|    1|    1|    3|    3|    1|    1|   -1|   -3|    1|    1|    1|    3|    3|    3|    1|    1|   -1|   -3|   -1|   -1|   -1|    1|    1|    1|    1|    1|   -1|   -3|   -1|    1|   -1|   -1|    1|    1|    1|    1|   -1|   -3|    1|    3|    3|    1|    1|    3|    1|    1|   -1|   -3|    1|    3|    3|    3|    1|    1|    1|    1|    1|   -3|   -1|    3|    3|    3|    1|   -1|   -1|    1|    1|   -1|   -1|    1|    1|    1|    1|    1|   -1|   -1|    1|   -1|    1|    1|    1|    1|    1|    3|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A25|    3|    1|    1|   -1|   -1|   -1|   -1|    3|    1|    1|    3|    1|   -3|   -1|   -1|   -1|   -1|   -1|    1|    1|    3|   -3|   -3|    3|    3|    0|    1|   -3|   -1|    3|   -1|   -3|    1|    3|    3|    3|    1|    1|    1|    1|   -1|   -3|    1|    3|    3|    1|    1|    3|    1|    1|   -1|   -3|    1|    3|    1|    1|    3|    3|    1|    1|   -1|   -3|    1|    1|    1|    3|    3|    3|    1|    1|   -1|   -3|   -1|   -1|   -1|    1|    1|    1|    1|    1|   -1|   -3|   -1|    1|   -1|   -1|    1|    1|    1|    1|   -1|   -3|    1|    3|    3|    1|    1|    3|    1|    1|   -1|   -3|    1|    3|    3|    3|    1|    1|    1|    1|    1|   -3|   -1|    3|    3|    3|    1|   -1|   -1|    1|    1|   -1|   -1|    1|    1|    1|    1|    1|   -1|   -1|    1|   -1|    1|    1|    1|    1|    1|    3|   -1|   -1|
