=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|
  A13|   -1|   -3|   -1|    5|    5|    5|    3|    1|   -5|   -5|   -1|   -1|    3|    0|    5|    5|    3|    3|   -1|   -5|    1|    3|    1|   -1|   -1|   -3|   -3|    1|    1|   -1|    3|    3|   -1|   -1|   -1|   -3|   -5|   -3|    1|    1|    3|    3|   -1|   -1|   -3|   -5|   -3|   -1|    1|    1|    3|    3|    1|    1|   -3|   -3|    1|    1|    1|   -1|    3|    3|    1|   -3|   -3|    1|    1|    1|   -1|   -1|    3|    3|    1|   -3|   -3|    1|    1|    1|   -1|   -1|    3|    3|   -1|   -1|   -1|   -1|    1|    1|   -1|   -1|    3|    3|   -3|   -3|   -1|   -3|   -3|   -1|   -1|   -1|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    1|    1|    3|    1|   -3|   -1|   -1|   -1|   -1|   -1|    1|    1|   -1|   -1|    1|    3|    3|    3|    3|    3|    1|   -3|   -1|   -3|   -1|    3|    3|    3|    3|    3|   -3|   -3|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A14|   -1|   -3|   -1|    5|    5|    5|    3|    1|   -5|   -5|   -1|   -1|    3|    5|    0|    5|    3|    3|   -1|   -5|    1|    3|    1|   -1|   -1|   -3|   -3|    1|    1|   -1|    3|    3|   -1|   -1|   -1|   -3|   -5|   -3|    1|    1|    3|    3|   -1|   -1|   -3|   -5|   -3|   -1|    1|    1|    3|    3|    1|    1|   -3|   -3|    1|    1|    1|   -1|    3|    3|    1|   -3|   -3|    1|    1|    1|   -1|   -1|    3|    3|    1|   -3|   -3|    1|    1|    1|   -1|   -1|    3|    3|   -1|   -1|   -1|   -1|    1|    1|   -1|   -1|    3|    3|   -3|   -3|   -1|   -3|   -3|   -1|   -1|   -1|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    1|    1|    3|    1|   -3|   -1|   -1|   -1|   -1|   -1|    1|    1|   -1|   -1|    1|    3|    3|    3|    3|    3|    1|   -3|   -1|   -3|   -1|    3|    3|    3|    3|    3|   -3|   -3|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A15|   -1|   -3|   -1|    5|    5|    5|    3|    1|   -5|   -5|   -1|   -1|    3|    5|    5|    0|    3|    3|   -1|   -5|    1|    3|    1|   -1|   -1|   -3|   -3|    1|    1|   -1|    3|    3|   -1|   -1|   -1|   -3|   -5|   -3|    1|    1|    3|    3|   -1|   -1|   -3|   -5|   -3|   -1|    1|    1|    3|    3|    1|    1|   -3|   -3|    1|    1|    1|   -1|    3|    3|    1|   -3|   -3|    1|    1|    1|   -1|   -1|    3|    3|    1|   -3|   -3|    1|    1|    1|   -1|   -1|    3|    3|   -1|   -1|   -1|   -1|    1|    1|   -1|   -1|    3|    3|   -3|   -3|   -1|   -3|   -3|   -1|   -1|   -1|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    1|    1|    3|    1|   -3|   -1|   -1|   -1|   -1|   -1|    1|    1|   -1|   -1|    1|    3|    3|    3|    3|    3|    1|   -3|   -1|   -3|   -1|    3|    3|    3|    3|    3|   -3|   -3|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A16|   -3|   -5|   -3|    3|    3|    3|    5|    3|   -3|   -3|   -3|   -3|    1|    3|    3|    3|    0|    5|    1|   -3|   -1|    1|   -1|   -3|   -3|   -1|   -1|   -1|    3|    1|    1|    1|   -3|   -3|   -3|   -1|   -3|   -5|    3|    3|    1|    1|   -3|   -3|   -1|   -3|   -5|   -3|    3|    3|    1|    1|   -1|   -1|   -1|   -1|   -1|   -1|    3|    1|    1|    1|   -1|   -1|   -1|   -1|   -1|   -1|    1|    1|    1|    1|   -1|   -1|   -1|   -1|   -1|   -1|    1|    1|    1|    1|    1|    1|   -3|   -3|   -1|   -1|    1|    1|    1|    1|   -1|   -1|   -3|   -5|   -5|   -3|    1|    1|    1|    3|   -1|   -3|   -3|   -3|   -5|   -5|    3|    3|    1|    3|   -1|   -3|   -3|   -3|   -3|   -3|    3|    3|    1|    1|   -1|    1|    1|    1|    1|    1|    3|   -1|    1|   -1|   -3|    1|    1|    1|    1|    1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A17|   -3|   -5|   -3|    3|    3|    3|    5|    3|   -3|   -3|   -3|   -3|    1|    3|    3|    3|    5|    0|    1|   -3|   -1|    1|   -1|   -3|   -3|   -1|   -1|   -1|    3|    1|    1|    1|   -3|   -3|   -3|   -1|   -3|   -5|    3|    3|    1|    1|   -3|   -3|   -1|   -3|   -5|   -3|    3|    3|    1|    1|   -1|   -1|   -1|   -1|   -1|   -1|    3|    1|    1|    1|   -1|   -1|   -1|   -1|   -1|   -1|    1|    1|    1|    1|   -1|   -1|   -1|   -1|   -1|   -1|    1|    1|    1|    1|    1|    1|   -3|   -3|   -1|   -1|    1|    1|    1|    1|   -1|   -1|   -3|   -5|   -5|   -3|    1|    1|    1|    3|   -1|   -3|   -3|   -3|   -5|   -5|    3|    3|    1|    3|   -1|   -3|   -3|   -3|   -3|   -3|    3|    3|    1|    1|   -1|    1|    1|    1|    1|    1|    3|   -1|    1|   -1|   -3|    1|    1|    1|    1|    1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A18|   -3|   -1|    1|   -1|   -1|   -1|    1|    3|    1|    1|   -3|    1|    1|   -1|   -1|   -1|    1|    1|    0|    1|   -1|    1|   -1|   -3|   -3|   -1|   -1|   -1|    3|    1|   -3|    1|    1|   -3|   -3|   -1|    1|   -1|   -1|   -1|   -3|    1|    1|   -3|   -1|    1|   -1|   -3|   -1|   -1|   -3|    1|    3|   -1|    3|    3|   -1|   -1|   -1|   -3|   -3|    1|    3|    3|    3|   -1|   -1|   -1|   -3|   -3|   -3|    1|   -1|   -1|   -1|   -5|   -5|   -5|   -3|   -3|   -3|    1|    1|   -3|   -3|   -3|   -5|   -5|   -3|   -3|   -3|    1|    3|   -1|   -3|   -1|   -1|   -3|   -3|   -3|   -3|    3|    3|   -3|   -3|   -3|   -1|   -1|   -1|   -1|   -3|    3|    3|   -3|   -3|   -3|   -3|    1|    3|   -1|   -3|    1|    3|    1|    1|    1|    1|    1|    3|   -1|   -3|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A19|    1|    3|    1|   -5|   -5|   -5|   -3|   -1|    5|    5|    1|    1|   -3|   -5|   -5|   -5|   -3|   -3|    1|    0|   -1|   -3|   -1|    1|    1|    3|    3|   -1|   -1|    1|   -3|   -3|    1|    1|    1|    3|    5|    3|   -1|   -1|   -3|   -3|    1|    1|    3|    5|    3|    1|   -1|   -1|   -3|   -3|   -1|   -1|    3|    3|   -1|   -1|   -1|    1|   -3|   -3|   -1|    3|    3|   -1|   -1|   -1|    1|    1|   -3|   -3|   -1|    3|    3|   -1|   -1|   -1|    1|    1|   -3|   -3|    1|    1|    1|    1|   -1|   -1|    1|    1|   -3|   -3|    3|    3|    1|    3|    3|    1|    1|    1|   -3|   -1|    3|    1|    1|    1|    3|    3|   -1|   -1|   -3|   -1|    3|    1|    1|    1|    1|    1|   -1|   -1|    1|    1|   -1|   -3|   -3|   -3|   -3|   -3|   -1|    3|    1|    3|    1|   -3|   -3|   -3|   -3|   -3|    3|    3|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A20|    3|    1|    3|    1|    1|    1|   -1|    1|   -1|   -1|    3|    3|   -1|    1|    1|    1|   -1|   -1|   -1|   -1|    0|   -1|   -3|    3|    3|    1|    1|   -3|   -3|    3|    3|   -1|   -1|    3|    3|    1|   -1|    1|    1|    1|    3|   -1|   -1|    3|    1|   -1|    1|    3|    1|    1|    3|   -1|    1|    5|    1|    1|    5|    5|    1|   -1|    3|   -1|    1|    1|    1|    5|    5|    5|   -1|   -1|    3|   -1|   -3|   -3|   -3|    1|    1|    1|   -1|   -1|    3|   -1|   -5|   -1|   -1|   -1|    1|    1|   -1|   -1|    3|   -1|   -3|    1|    3|    1|    1|    3|   -1|   -1|    3|   -3|   -3|    3|    3|    3|    1|    1|    1|    1|    3|   -3|   -3|    3|    3|    3|    3|   -1|   -3|    1|   -1|   -1|    1|    3|    3|    3|    3|    3|   -3|   -3|   -1|   -3|    3|    3|    3|    3|    3|    3|   -3|   -3|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A21|   -3|   -1|    1|    3|    3|    3|    1|   -1|   -3|   -3|   -3|    1|    5|    3|    3|    3|    1|    1|    1|   -3|   -1|    0|    3|   -3|   -3|   -5|   -5|    3|    3|   -3|    1|    5|    1|   -3|   -3|   -5|   -3|   -1|   -1|   -1|    1|    5|    1|   -3|   -5|   -3|   -1|   -3|   -1|   -1|    1|    5|    3|   -1|   -1|   -1|   -1|   -1|   -1|   -3|    1|    5|    3|   -1|   -1|   -1|   -1|   -1|   -3|   -3|    1|    5|    3|   -1|   -1|   -1|   -1|   -1|   -3|   -3|    1|    5|    1|   -3|    1|    1|   -1|   -1|   -3|   -3|    1|    5|   -1|   -5|   -3|   -1|   -1|   -3|   -3|   -3|    1|    3|   -1|   -3|   -3|   -3|   -1|   -1|   -1|   -1|    1|    3|   -1|   -3|   -3|   -3|   -3|    1|    3|   -1|   -3|    1|    3|    1|    1|    1|    1|    1|    3|   -1|   -3|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A22|   -1|    1|   -1|    1|    1|    1|   -1|   -3|   -1|   -1|   -1|   -1|    3|    1|    1|    1|   -1|   -1|   -1|   -1|   -3|    3|    0|   -1|   -1|   -3|   -3|    5|    1|   -5|   -1|    3|    3|   -1|   -1|   -3|   -1|    1|   -3|   -3|   -1|    3|    3|   -1|   -3|   -1|    1|   -1|   -3|   -3|   -1|    3|    1|   -3|   -3|   -3|   -3|   -3|   -3|   -1|   -1|    3|    1|   -3|   -3|   -3|   -3|   -3|   -1|   -1|   -1|    3|    5|    1|    1|    1|    1|    1|   -1|   -1|   -1|    3|    3|   -1|    3|    3|    1|    1|   -1|   -1|   -1|    3|    1|   -3|   -1|    1|    1|   -1|   -1|   -1|   -1|    1|    1|   -1|   -1|   -1|    1|    1|   -3|   -3|   -1|    1|    1|   -1|   -1|   -1|   -1|    3|    1|   -3|   -1|   -1|    1|   -1|   -1|   -1|   -1|   -1|    1|    1|   -1|    1|   -1|   -1|   -1|   -1|   -1|   -1|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A23|    5|    3|    1|   -1|   -1|   -1|   -3|   -1|    1|    1|    5|    1|   -3|   -1|   -1|   -1|   -3|   -3|   -3|    1|    3|   -3|   -1|    0|    5|    3|    3|   -1|   -5|    1|    1|   -3|    1|    5|    5|    3|    1|    3|   -1|   -1|    1|   -3|    1|    5|    3|    1|    3|    5|   -1|   -1|    1|   -3|   -1|    3|   -1|   -1|    3|    3|   -1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    1|    1|   -3|   -3|    1|    1|    1|    3|    3|    1|    1|    1|   -3|   -1|    3|    5|    3|    3|    5|    1|    1|    1|   -5|   -1|    5|    5|    5|    3|    3|   -1|   -1|    1|   -5|   -1|    5|    5|    5|    5|    1|   -5|   -1|    1|   -3|   -1|    1|    1|    1|    1|    1|   -5|   -1|    1|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A24|    5|    3|    1|   -1|   -1|   -1|   -3|   -1|    1|    1|    5|    1|   -3|   -1|   -1|   -1|   -3|   -3|   -3|    1|    3|   -3|   -1|    5|    0|    3|    3|   -1|   -5|    1|    1|   -3|    1|    5|    5|    3|    1|    3|   -1|   -1|    1|   -3|    1|    5|    3|    1|    3|    5|   -1|   -1|    1|   -3|   -1|    3|   -1|   -1|    3|    3|   -1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    1|    1|   -3|   -3|    1|    1|    1|    3|    3|    1|    1|    1|   -3|   -1|    3|    5|    3|    3|    5|    1|    1|    1|   -5|   -1|    5|    5|    5|    3|    3|   -1|   -1|    1|   -5|   -1|    5|    5|    5|    5|    1|   -5|   -1|    1|   -3|   -1|    1|    1|    1|    1|    1|   -5|   -1|    1|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A25|    3|    1|   -1|   -3|   -3|   -3|   -1|    1|    3|    3|    3|   -1|   -5|   -3|   -3|   -3|   -1|   -1|   -1|    3|    1|   -5|   -3|    3|    3|    0|    5|   -3|   -3|    3|   -1|   -5|   -1|    3|    3|    5|    3|    1|    1|    1|   -1|   -5|   -1|    3|    5|    3|    1|    3|    1|    1|   -1|   -5|   -3|    1|    1|    1|    1|    1|    1|    3|   -1|   -5|   -3|    1|    1|    1|    1|    1|    3|    3|   -1|   -5|   -3|    1|    1|    1|    1|    1|    3|    3|   -1|   -5|   -1|    3|   -1|   -1|    1|    1|    3|    3|   -1|   -5|    1|    5|    3|    1|    1|    3|    3|    3|   -1|   -3|    1|    3|    3|    3|    1|    1|    1|    1|   -1|   -3|    1|    3|    3|    3|    3|   -1|   -3|    1|    3|   -1|   -3|   -1|   -1|   -1|   -1|   -1|   -3|    1|    3|    1|   -1|   -1|   -1|   -1|   -1|   -1|    1|    1|
